"CodesAndRegsLicenseDataID","LicenseID","Description","LicenseName","Location","StreetNumber","Prefix","StreetName","Suffix","Longitude","Latitude","ExpirationDate","SubType","SubDescription","IssueDate","Zip","DISTRICT","NEIGHBORHOOD","ZONING","EndorsementType","EndorsementTypeDescription","EndorsementStatusDescription","EndorsementIssuedDate","AGENCY","GPSX","GPSY"
"1","5677","Alcoholic Beverage Annual","TUMBLEWEED SOUTHWEST GRILL","4255 OUTER LOOP ","4255"," ","OUTER","LOOP","-85.682815751500002","38.138771830800003","2018-08-31 00:00:00","RST","Restaurant / Cafe","2004-08-17 10:14:00","40219","24","","C1","RLD","NQ2 Retail Drink (Restaurant)","Active","","Codes and Regulations","1228336","235821"
"2","5677","Alcoholic Beverage Annual","TUMBLEWEED SOUTHWEST GRILL","4255 OUTER LOOP ","4255"," ","OUTER","LOOP","-85.682815751500002","38.138771830800003","2018-08-31 00:00:00","RST","Restaurant / Cafe","2004-08-17 10:14:00","40219","24","","C1","SD","Sunday Drink","Active","","Codes and Regulations","1228336","235821"
"3","5679","Alcoholic Beverage Annual","TUMBLEWEED SOUTHWEST GRILL","3550 SPRINGHURST COMMONS DR ","3550"," ","SPRINGHURST COMMONS","DR","-85.561420715400004","38.297505092800002","2018-08-31 00:00:00","RST","Restaurant / Cafe","2004-08-03 16:22:00","40241","17","","C1","RLD","NQ2 Retail Drink (Restaurant)","Active","","Codes and Regulations","1264070","293100"
"4","5679","Alcoholic Beverage Annual","TUMBLEWEED SOUTHWEST GRILL","3550 SPRINGHURST COMMONS DR ","3550"," ","SPRINGHURST COMMONS","DR","-85.561420715400004","38.297505092800002","2018-08-31 00:00:00","RST","Restaurant / Cafe","2004-08-03 16:22:00","40241","17","","C1","SD","Sunday Drink","Active","","Codes and Regulations","1264070","293100"
"5","5717","Alcoholic Beverage Annual","COURTYARD BY MARRIOTT","10200 CHAMPION FARMS DR ","10200"," ","CHAMPION FARMS","DR","-85.5625369224","38.296600024200004","2019-01-31 00:00:00","HOT","Hotels","2004-09-20 10:28:00","40241","17","","C1","LD","Quota Retail Drink","Active","","Codes and Regulations","1263745","292775"
"6","5717","Alcoholic Beverage Annual","COURTYARD BY MARRIOTT","10200 CHAMPION FARMS DR ","10200"," ","CHAMPION FARMS","DR","-85.5625369224","38.296600024200004","2019-01-31 00:00:00","HOT","Hotels","2004-09-20 10:28:00","40241","17","","C1","SD","Sunday Drink","Active","","Codes and Regulations","1263745","292775"
"7","4642","Alcoholic Beverage Annual","CARDINAL HALL OF FAME CAFE","2745 CRITTENDEN DR ","2745"," ","CRITTENDEN","DR","-85.748964987199997","38.203738271699997","2018-05-31 00:00:00","RST","Restaurant / Cafe","2004-05-25 08:47:00","40209","15","FAIRGROUNDS","M2","SBL","Supplemental Bar","Active","","Codes and Regulations","1209698","259779"
"8","4074","Alcoholic Beverage Annual","SHIRLEY MAE'S CAFE","802 S CLAY ST ","802","S","CLAY","ST","-85.742263335499999","38.241449471700001","2018-10-31 00:00:00","RST","Restaurant / Cafe","2004-04-02 15:25:00","40203","04","SMOKETOWN JACKSON","UN","LD2","Quota Retail Drink (12 AM - 2 AM)","Active","","Codes and Regulations","1211846","273479"
"9","14ABC1206","Alcoholic Beverage Annual","GRIFF'S","323 W CARDINAL BLVD ","323","W","CARDINAL","BLVD","-85.762024693499995","38.220850076300003","2018-05-31 00:00:00","RST","Restaurant / Cafe","2015-01-12 16:09:41","40208","06","OLD LOUISVILLE","TNZD","SD","Sunday Drink","Active","","Codes and Regulations","1206048","266071"
"10","14ABC1209","Alcoholic Beverage Annual","TOKYO JAPANESE RESTAURANT & SUSHI BAR","2415 LIME KILN LN ","2415"," ","LIME KILN","LN","-85.628026750700002","38.285934747900001","2019-01-31 00:00:00","RST","Restaurant / Cafe","2015-01-29 12:33:29","40222","07","","C1","RLD","NQ2 Retail Drink (Restaurant)","Active","2015-01-29 12:33:29","Codes and Regulations","1244894","289166"
